shop open time what,what time does the shop open,,,
She market go,She went to market,,,
sit down,sit down,,,
have seat please,Please have a seat,,,
have seat please,have a seat please,,,
you cute,you are cute,,,
you beautiful,You are so beautiful,,,
little deaf,There are only few deaf people,,,
then two zero one five BILL GATES two Delhi fly,Then in 2015 Bill Gates and Merinda Gates came to New Delhi.,,,
He see side mirror right see side mirror left,He looks right and left into the side mirror,,,
TV Drama I see only,I only watch TV series,,,
morning I newspaper see end,In the morning I have a look at the news paper,,,
Past school ten success one nine nine one,In 1991 I passed the tenth class,,,
then school two year teach,Then I was a teacher at a school for two years,,,
speak do,You have to speak.,,,https://ieeexplore.ieee.org/abstract/document/9315979
cloth cloth wash go,Go and wash the clothes!,,,
beat not do,Don‘t beat me!,,,https://smsjournals.com/index.php/SAMRIDDHI/article/view/1961
I tea no,I haven‘t had tea yet,,,
I tea no-no,I don‘t want any tea,,,https://ieeexplore.ieee.org/abstract/document/9362383
she coffee all we made,she made coffee for all of us,,,
your hand me show,show your hands to me,,,https://ieeexplore.ieee.org/abstract/document/6481787
You money want Yes-No,Do you want money?,,,
This algorithm correct,This is a correct algorithm.,,,https://ieeexplore.ieee.org/abstract/document/8358363
my cat chase mouse now,My cat is chasing a mouse,,,
He clever Yes-No,Is he clever?,,,
Was he words man Yes-No,Was he the man of words?,,,
He school go after Yes-No,Will he go to school?,,,
He school go now after,He will be going to school.,,,
You Welcome,You are welcome,,,
please strong,please be strong,,,
you wrong,You are wrong,,,
please call me later,Please call me later,,,
please garbage throw not use dustbin,"Please use dusbin,dont throw garbage",,,
you phone number what,What is your mobile number?,,,
I say something but forget,I had to say something but i forgot.,,,
i go college now,I am going to college.,,,
today holiday,today is holiday,,,
i ready food,i prepared the meal,,,
i fine not,i am not feeling well,,,
